NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,427.6736632970123
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,430.0746115390009
b38a03232f43b11c9d0788abaf060f7366053b6d,579.2675629022912
70b682d9a3636be23f6120fa9d6b164eb3c6002d,74.5996723531856
715494628a50142ce8cb17191cfe6d0f3cae0934,567.3540011766634
e656d6bad65c93fb2880f1eba5037008c8e75774,483.83125170031735
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,561.1047970957866
11539e86171bf07d3a36f09377d7f54ebcc8406a,415.50035763105444
043c544a2104aa8a9849f1a703a08d37a2f16839,454.02731107632474
76ba050e64ad100b856f0eaabd8f539d5c7dd185,465.57485338952375
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,61.13260182306424
db4da599aab5bb08dce27094a35fd3e36cd0abce,57.862362830548875
940aede382ccb332fab15d413217695ec44ca765,466.2821339679999
9ad714b116da76d878dd399d187fccc2dd13dd63,569.2014943383664
dd34464a4d780b12a089347ad580418ac57a3055,529.9106228563235
f837a4cb05a5fd59d20138182f5e8c721eadd584,460.8084411111608
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,57.95776785918803
ca8477c8493b09f34d17bb287f9bacf2dd744c32,69.81109982941598
8b0c675d7fde14953668269d378c588f0df0498b,68.65433943214919
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,383.6242924842627
3d203727f27abd83b71732d88d8cb1cc099f363b,427.7801505715943
d30d31c8ff45094e9a992c63d4a6f68b245a341a,459.4527830724983
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,44.61790592930559
cbc301183dec912f3513ca766bf03dd565f3a38f,484.266664027042
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,636.6734302646963
11282da1ee78c8db45a041db4c744e33df489df0,440.6665969631158
03c67f683a415c2ea09b582248bd4cb08528c19d,603.7121396153029
046e844fb06a07ba30b41521f0065a8d9c6e5024,389.4358614070847
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,487.564842694797
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,91.28887715998619
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,43.63344109226744
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,428.7777286223664
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,537.1374849422792
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,491.7316686748002
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,544.6580165607513
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,499.6215619997931
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,476.9569588772436
59bfa081e020013410d9f60f91813964ba749bb2,431.86019225912946
f5e069ee3bc95998464e8ff5da048b7f999921ed,428.99464983793763
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,554.2110633227022
664f44258212a1f7e4086f2b4845d586c543fa3f,481.9758041117722
